tool_code,tool_name,tool_type,quantity,min_quantity,location,status
EL-IN-000-0101,APKT1604PDER-G2,ELMAS INSERT UÇ,62,10,A23,available
EL-IN-000-0102,APKT160408PDER,ELMAS INSERT UÇ,81,10,A23,available
EL-IN-000-0103,APTK11T304 APM,ELMAS INSERT UÇ,15,10,A23,available
EL-IN-000-0104,APMT1135PDER,ELMAS INSERT UÇ,0,10,A23,available
EL-IN-000-0105,APMT1135PDER-HM,ELMAS INSERT UÇ,22,10,A23,available
EL-IN-000-0106,APMT1135 PDTR,ELMAS INSERT UÇ,100,10,A23,available
EL-IN-000-0107,APMT1135PDER,ELMAS INSERT UÇ,0,10,A23,available
EL-IN-000-0108,APMT11T308PDSR-MM,ELMAS INSERT UÇ,24,10,A23,available
EL-IN-000-0109,APMT11T308-AL,ELMAS INSERT UÇ,0,10,A23,available
EL-IN-000-0110,APKT11T320-APM,ELMAS INSERT UÇ,10,10,A23,available
EL-IN-000-0111,DCMT11T304,ELMAS INSERT UÇ,0,10,E19,available
EL-IN-000-0112,DCMT11T304,ELMAS INSERT UÇ,940,10,E19,available
EL-IN-000-0113,DNMG150608,ELMAS INSERT UÇ,120,10,E20,available
EL-IN-000-0114,24PENTA2.0,ELMAS INSERT UÇ,18,10,E23,available
EL-IN-000-0115,24PENTA2.0,ELMAS INSERT UÇ,7,10,E23,available
EL-IN-000-0116,27PENTA2.0.,ELMAS INSERT UÇ,10,10,E23,available
EL-IN-000-0117,VCMT110308-WM+,ELMAS INSERT UÇ,28,10,E24,available
EL-IN-000-0118,VCMT110304 - LF6018,ELMAS INSERT UÇ,20,10,E24,available
EL-IN-000-0119,VCMT110308,ELMAS INSERT UÇ,4,10,E24,available
EL-IN-000-0120,VCMT160408 M,ELMAS INSERT UÇ,36,10,E24,available
EL-IN-000-0121,APMT11T3PDSR,ELMAS INSERT UÇ,0,10,A23,available
EL-IN-000-0122,VCGT110308 - AL,ELMAS INSERT UÇ,0,10,E24,available
EL-IN-000-0123,VCGT110308-AK,ELMAS INSERT UÇ,14,10,E24,available
EL-IN-000-0124,WNMG ELMAS ALTLIĞI,ELMAS INSERT UÇ,10,10,F22,available
EL-IN-000-0125,VBMT ELMAS ALTLIĞI,ELMAS INSERT UÇ,8,10,F22,available
EL-IN-000-0126,DCMT ELMAS ALTLIĞI,ELMAS INSERT UÇ,10,10,F22,available
EL-IN-000-0127,DNMG ELMAS ATLIĞI,ELMAS INSERT UÇ,10,10,F22,available
EL-IN-000-0128,VCMT ELMAS ALTLIĞI 20X20,ELMAS INSERT UÇ,16,10,F22,available
EL-IN-000-0129,16IR-1.0ISO,ELMAS INSERT UÇ,8,10,F23,available
EL-IN-000-0130,16IR-1.0ISO,ELMAS INSERT UÇ,30,10,F23,available
EL-IN-000-0131,16 IR 2.0 ISO,ELMAS INSERT UÇ,18,10,F23,available
EL-IN-000-0132,APGT1604PDFR-AK,ELMAS INSERT UÇ,20,10,A23,available
EL-IN-000-0133,16IR200ISO,ELMAS INSERT UÇ,47,10,F23,available
EL-IN-000-0134,16IR 2.5 ISO,ELMAS INSERT UÇ,13,10,F23,available
EL-IN-000-0135,16IR 3.0 ISO LDA,ELMAS INSERT UÇ,10,10,F23,available
EL-IN-000-0136,16 IR V UN 12,ELMAS INSERT UÇ,5,10,F23,available
EL-IN-000-0137,16 IR 10 W LDA,ELMAS INSERT UÇ,10,10,F23,available
EL-IN-000-0138,22IR 5.0 ISO LDA,ELMAS INSERT UÇ,0,10,F23,available
EL-IN-000-0139,22IR-V-ISO 5.0,ELMAS INSERT UÇ,6,10,F23,available
EL-IN-000-0140,11IRAG55,ELMAS INSERT UÇ,8,10,F23,available
EL-IN-000-0141,VCGT160402-AK,ELMAS INSERT UÇ,21,10,F24,available
EL-IN-000-0142,VCGT160404-AK,ELMAS INSERT UÇ,8,10,F24,available
EL-IN-000-0143,MGMN300,ELMAS INSERT UÇ,0,10,A24,available
EL-IN-000-0144,VCGT160404-AL,ELMAS INSERT UÇ,10,10,F24,available
EL-IN-000-0145,VCGT160402-AK,ELMAS INSERT UÇ,6,10,F24,available
EL-IN-000-0146,SWMT0904UER,ELMAS INSERT UÇ,0,10,F25,available
EL-IN-000-0147,SNMX1205ZNN-OM,ELMAS INSERT UÇ,19,10,F25,available
EL-IN-000-0148,SWT0904UER,ELMAS INSERT UÇ,96,10,F25,available
EL-IN-000-0149,LOGU030310,ELMAS INSERT UÇ,30,10,G22,available
EL-IN-000-0150,16ER1.5ISO,ELMAS INSERT UÇ,44,10,G23,available